held_out_pair_id,contrast,feature,mean_difference_without_pair,full_mean_difference
dyad_004,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.004439076448935567,-0.004489955581571338
dyad_005,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.005107036454166155,-0.004489955581571338
dyad_006,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.004492490766113499,-0.004489955581571338
dyad_007,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.004256920957580365,-0.004489955581571338
dyad_008,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.0041475743838640475,-0.004489955581571338
dyad_009,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.004496981325476268,-0.004489955581571338
dyad_010,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.004958290041813995,-0.004489955581571338
dyad_011,S1_vs_S2,lean_in_proxy_root_distance_delta_session_mean,-0.004065378120810952,-0.004489955581571338
dyad_001,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.05571804541136201,0.055384607068609565
dyad_002,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.0646781903015734,0.055384607068609565
dyad_003,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.04944680010959103,0.055384607068609565
dyad_004,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.05357615339945625,0.055384607068609565
dyad_005,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.05711039100712896,0.055384607068609565
dyad_006,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.06004481836043567,0.055384607068609565
dyad_007,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.05006715049343705,0.055384607068609565
dyad_008,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.050101974093460934,0.055384607068609565
dyad_009,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.053956758299533406,0.055384607068609565
dyad_010,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.060390483254737524,0.055384607068609565
dyad_011,S1_vs_S3,p2_gaze_pitch_max_session_mean,0.054139913023988906,0.055384607068609565
dyad_001,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.07187443445529379,0.07426146028093028
dyad_002,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.08596250978392678,0.07426146028093028
dyad_003,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.07979474916616616,0.07426146028093028
dyad_004,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.07838599569877601,0.07426146028093028
dyad_005,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.06688966136615082,0.07426146028093028
dyad_006,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.07633682736594216,0.07426146028093028
dyad_007,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.07508248718212177,0.07426146028093028
dyad_008,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,0.0626602556427294,0.07426146028093028
