pair_id,session_id,order,condition_label,window_size_s,from_token,to_token,count
dyad_009,20260510_142206_order3,3,competitive,1.0,BT01,BT01,40
dyad_009,20260510_142353_order4,4,competitive,1.0,BT00,BT00,12
dyad_009,20260510_142353_order4,4,competitive,1.0,BT00,BT01,9
dyad_009,20260510_142353_order4,4,competitive,1.0,BT01,BT00,9
dyad_009,20260510_142353_order4,4,competitive,1.0,BT01,BT01,35
dyad_010,20260510_144735_order1,1,baseline,1.0,BT00,BT00,17
dyad_010,20260510_144735_order1,1,baseline,1.0,BT00,BT01,14
dyad_010,20260510_144735_order1,1,baseline,1.0,BT01,BT00,14
dyad_010,20260510_144735_order1,1,baseline,1.0,BT01,BT01,32
dyad_010,20260510_145002_order2,2,competitive,1.0,BT00,BT00,34
dyad_010,20260510_145002_order2,2,competitive,1.0,BT00,BT01,12
dyad_010,20260510_145002_order2,2,competitive,1.0,BT01,BT00,13
dyad_010,20260510_145002_order2,2,competitive,1.0,BT01,BT01,25
dyad_010,20260510_145207_order3,3,competitive,1.0,BT00,BT00,33
dyad_010,20260510_145207_order3,3,competitive,1.0,BT00,BT01,13
dyad_010,20260510_145207_order3,3,competitive,1.0,BT01,BT00,13
dyad_010,20260510_145207_order3,3,competitive,1.0,BT01,BT01,31
dyad_010,20260510_145409_order4,4,competitive,1.0,BT00,BT00,86
dyad_010,20260510_145409_order4,4,competitive,1.0,BT00,BT01,30
dyad_010,20260510_145409_order4,4,competitive,1.0,BT01,BT00,30
dyad_010,20260510_145409_order4,4,competitive,1.0,BT01,BT01,28
dyad_011,20260510_154339_order1,1,baseline,1.0,BT00,BT00,81
dyad_011,20260510_154339_order1,1,baseline,1.0,BT00,BT01,27
dyad_011,20260510_154339_order1,1,baseline,1.0,BT01,BT00,27
dyad_011,20260510_154339_order1,1,baseline,1.0,BT01,BT01,58
dyad_011,20260510_154923_order2,2,competitive,1.0,BT00,BT00,67
dyad_011,20260510_154923_order2,2,competitive,1.0,BT00,BT01,11
dyad_011,20260510_154923_order2,2,competitive,1.0,BT01,BT00,11
dyad_011,20260510_154923_order2,2,competitive,1.0,BT01,BT01,10
dyad_011,20260510_155222_order3,3,competitive,1.0,BT00,BT00,107
dyad_011,20260510_155222_order3,3,competitive,1.0,BT00,BT01,5
dyad_011,20260510_155222_order3,3,competitive,1.0,BT01,BT00,4
dyad_011,20260510_155222_order3,3,competitive,1.0,BT01,BT01,3
dyad_011,20260510_155501_order4,4,competitive,1.0,BT00,BT00,26
dyad_011,20260510_155501_order4,4,competitive,1.0,BT00,BT01,15
dyad_011,20260510_155501_order4,4,competitive,1.0,BT01,BT00,14
dyad_011,20260510_155501_order4,4,competitive,1.0,BT01,BT01,15
