pair_id,session_id,order,condition_label,window_index,PC1,PC2,PC3,PC4,PC5
dyad_001,20260504_183529_order2,2,competitive,32,6.027019978301083,-1.4006085894417981,-5.985240153329333,-6.892190129060254,-5.432528119164635
dyad_001,20260504_183529_order2,2,competitive,33,4.910165284976069,-10.252223908961618,-3.6186396409499104,-0.2530702723315755,-0.1958499290884888
dyad_001,20260504_183529_order2,2,competitive,34,1.5435636451852193,-6.4877972627617755,-0.0006842303168866932,-1.691453549151667,-0.48068010328758043
dyad_001,20260504_183529_order2,2,competitive,35,4.838052369358404,-9.797368914915632,-3.4436853978424127,0.3418449247204066,-2.0486173861884
dyad_001,20260504_183529_order2,2,competitive,36,3.9836285282228974,-3.941691491546251,0.9203551476121338,-2.1604838022935433,-3.3963671212718105
dyad_001,20260504_183529_order2,2,competitive,37,3.085353455174482,-2.6878129005934586,1.9576411977597319,-1.7744339051777052,-6.629643137643749
dyad_001,20260504_183529_order2,2,competitive,38,5.222329298200348,-5.897498681503015,-2.004541818649023,-0.9042432698480852,-1.5678229975333284
dyad_001,20260504_183529_order2,2,competitive,39,6.43816472203055,-5.060458627737532,-0.7739057605695125,-1.1555211023746064,-5.6423211443307775
dyad_001,20260504_183529_order2,2,competitive,40,4.212276911578681,-3.965183733998525,-2.337816538260753,-3.460061349096125,-3.54744816525368
dyad_001,20260504_183529_order2,2,competitive,41,8.072168591916862,-10.000376246864137,-3.4696651234700298,4.667791895762966,-2.5125517901880574
dyad_001,20260504_183529_order2,2,competitive,42,4.413294143833641,-12.584775293984023,-0.03066850623925376,1.8813698351968915,-2.514622914535298
dyad_001,20260504_183529_order2,2,competitive,43,5.683463610481065,-4.035135070652805,0.6077129146193642,0.8352873103304294,-4.526559755788719
dyad_001,20260504_183529_order2,2,competitive,44,2.686797215812067,0.4098926112318727,-0.42276752309965526,-3.2335776143497412,-5.305759667136675
dyad_001,20260504_183529_order2,2,competitive,45,4.226070756951779,-3.7510693083716453,-3.601600207229639,3.114897738083071,-5.182003109784871
dyad_001,20260504_183529_order2,2,competitive,46,9.000614628802326,-3.6236663604085466,1.371808814693614,2.3700379185583245,-3.2481763811083955
dyad_001,20260504_183529_order2,2,competitive,47,10.134054866151143,-4.7478819108561785,-0.8624294542786648,0.8169009804752156,-5.665737649570402
dyad_001,20260504_183529_order2,2,competitive,48,4.943680574035023,-3.225018090254954,-2.383620021950914,2.039306660298881,-4.330993231019716
dyad_001,20260504_183529_order2,2,competitive,49,0.4560445856516829,-2.4689333530680324,-3.452233127125778,3.835078242364221,-4.5934795715631
dyad_001,20260504_183529_order2,2,competitive,50,8.479181888983973,-5.229718727643201,-2.416718731715689,2.126370189626013,-3.4769618580857014
dyad_001,20260504_183529_order2,2,competitive,51,3.385549409750968,-0.4675690832183484,-2.6230913868601444,-0.7955646062922274,-5.5791135115426345
dyad_001,20260504_184034_order3,3,competitive,0,8.51999276274297,-1.3317618247048928,-5.47641696818564,-2.581663107144529,-7.433451428897406
dyad_001,20260504_184034_order3,3,competitive,1,8.286825701581344,-1.2707350786525107,-6.860191946575868,-4.004132850806929,-5.402378805763141
dyad_001,20260504_184034_order3,3,competitive,2,4.157354212309085,-3.710282272461876,-2.1257737064460795,-3.559580175978794,-4.0263522029604415
dyad_001,20260504_184034_order3,3,competitive,3,3.813616711871553,-1.9032593437722416,-3.521864510864093,-6.3414142492787935,-4.828173247866241
dyad_001,20260504_184034_order3,3,competitive,4,7.502550545066277,-6.512801401906121,-4.715643547230975,1.0885376796869328,-5.094395391583011
dyad_001,20260504_184034_order3,3,competitive,5,2.4979591108963515,-4.340104094739015,-2.488009137243087,-3.176382621240022,-5.230901372934297
dyad_001,20260504_184034_order3,3,competitive,6,8.561079708662017,-6.191399495760794,-5.17791277607797,-0.5957478940978056,-5.55569415891105
dyad_001,20260504_184034_order3,3,competitive,7,6.517809837602072,-5.093650043135457,-6.090164720657026,1.2281441726599185,-3.5722935269965035
dyad_001,20260504_184034_order3,3,competitive,8,7.749104779479418,-1.8219161191404916,-3.966758246851553,-0.761893458653402,-5.004321956513047
dyad_001,20260504_184034_order3,3,competitive,9,3.658302905468843,-7.651954563222822,-1.5131560859123467,-1.4080199389373156,-0.013478587397961136
dyad_001,20260504_184034_order3,3,competitive,10,6.673555465322172,-6.333114026692698,-4.548597458738952,0.9295089577747083,-0.9727774573508416
dyad_001,20260504_184034_order3,3,competitive,11,7.393126284362054,-3.2470453289678614,-3.737421423005029,-2.0601248526424762,-8.184678465960635
dyad_001,20260504_184034_order3,3,competitive,12,6.284769694213469,-7.386787378472659,-0.8765904028629891,-0.49442631591272795,-6.687694355183941
dyad_001,20260504_184034_order3,3,competitive,13,5.058330556499298,-6.554079565258977,-2.727309702466613,1.9304022857986367,-6.312142884990105
dyad_001,20260504_184034_order3,3,competitive,14,0.48755658342848124,-3.350895561996757,1.0142246484609518,-3.1598591229513566,-6.643149212295445
dyad_001,20260504_184034_order3,3,competitive,15,0.47563769610454953,-3.2728829019003114,-3.5987441823058823,-1.1822126605516918,-3.75794107528832
dyad_001,20260504_184034_order3,3,competitive,16,6.404127429640068,-4.365209673830506,-3.1914870145771155,0.4717756842236388,-2.4978392508154594
dyad_001,20260504_184034_order3,3,competitive,17,3.5412181007957377,-1.3221016549115743,-1.226438807628947,-6.572006522998514,-6.495072647000612
dyad_001,20260504_184034_order3,3,competitive,18,8.104445528657582,-4.70747834544529,-1.3999206460199236,-0.8594801379306756,-6.309426123172856
dyad_001,20260504_184034_order3,3,competitive,19,6.9202267271531905,-9.780309757443012,-1.6476747602024275,1.791728627449481,-2.173101288023019
dyad_001,20260504_184304_order4,4,competitive,0,5.799190776939269,-1.866845835648796,-3.0404722432344538,-1.175130407853194,-7.043950524523517
dyad_001,20260504_184304_order4,4,competitive,1,7.184118124114792,-4.239500166826531,-4.093467494165235,0.2863634731680977,-5.664965287783947
