session_label,window_idx,cluster
20260505_190850_order1,630,2
20260505_190850_order1,660,0
20260505_190850_order1,810,5
20260505_190850_order1,840,3
20260505_190850_order1,870,1
20260505_190850_order1,1200,1
20260505_190850_order1,1230,1
20260505_190850_order1,1260,3
20260505_190850_order1,1290,0
20260505_190850_order1,1320,5
20260505_190850_order1,1350,5
20260505_190850_order1,1380,5
20260505_190850_order1,1410,3
20260505_190850_order1,1440,4
20260505_190850_order1,1470,4
20260505_190850_order1,1500,0
20260505_190850_order1,1650,5
20260505_190850_order1,1680,5
20260505_190850_order1,1710,4
20260505_190850_order1,1740,4
20260505_190850_order1,1770,4
20260505_190850_order1,1800,3
20260505_190850_order1,1830,5
20260505_190850_order1,1860,5
20260505_190850_order1,1890,1
20260505_190850_order1,1920,4
20260505_190850_order1,1950,4
20260505_190850_order1,1980,1
20260505_190850_order1,2010,0
20260505_190850_order1,2190,5
20260505_190850_order1,2220,5
20260505_190850_order1,2250,5
20260505_190850_order1,2310,4
20260505_190850_order1,2340,4
20260505_190850_order1,2370,4
20260505_190850_order1,2400,5
20260505_190850_order1,2430,3
20260505_190850_order1,2460,3
20260505_190850_order1,2490,1
20260505_190850_order1,2520,1
20260505_190850_order1,2550,0
20260505_190850_order1,2580,0
20260505_190850_order1,2610,5
20260505_190850_order1,2640,5
20260505_190850_order1,2670,3
20260505_190850_order1,2700,4
20260505_190850_order1,2730,4
20260505_190850_order1,2760,4
20260505_190850_order1,2790,4
20260505_190850_order1,2850,4
20260505_190850_order1,2880,4
20260505_190850_order1,2940,5
20260505_190850_order1,2970,4
20260505_190850_order1,3000,5
20260505_190850_order1,3030,5
20260505_190850_order1,3060,5
20260505_190850_order1,3090,5
20260505_190850_order1,3120,4
20260505_190850_order1,3150,4
20260505_190850_order1,3180,4
20260505_190850_order1,3210,4
20260505_190850_order1,3240,4
20260505_190850_order1,3270,5
20260505_190850_order1,3480,5
20260505_190850_order1,3510,5
20260505_190850_order1,3540,5
20260505_190850_order1,3570,5
20260505_190850_order1,3600,5
20260505_190850_order1,3630,5
20260505_191548_order2,0,0
20260505_191548_order2,30,2
20260505_191548_order2,60,2
20260505_191548_order2,90,3
20260505_191548_order2,120,2
20260505_191548_order2,150,0
20260505_191548_order2,180,5
20260505_191548_order2,210,2
20260505_191548_order2,240,2
20260505_191548_order2,270,3
20260505_191548_order2,300,0
20260505_191548_order2,330,5
20260505_191548_order2,360,3
20260505_191548_order2,390,5
20260505_191548_order2,420,5
20260505_191548_order2,450,5
20260505_191548_order2,480,5
20260505_191548_order2,510,3
20260505_191548_order2,540,5
20260505_191548_order2,600,5
20260505_191548_order2,630,5
20260505_191548_order2,660,5
20260505_191548_order2,690,5
20260505_191548_order2,720,5
20260505_191548_order2,750,5
20260505_191548_order2,780,5
20260505_191548_order2,810,4
20260505_191548_order2,840,4
20260505_191548_order2,870,4
20260505_191548_order2,900,5
20260505_191548_order2,930,5
20260505_191548_order2,960,5
20260505_191548_order2,990,5
20260505_191548_order2,1050,5
20260505_191548_order2,1080,4
20260505_191548_order2,1110,4
20260505_191548_order2,1140,4
20260505_191548_order2,1170,5
20260505_191548_order2,1200,5
20260505_191548_order2,1230,5
20260505_191548_order2,1260,5
20260505_191548_order2,1290,5
20260505_191548_order2,1320,0
20260505_191548_order2,1350,5
20260505_191548_order2,1380,3
20260505_191548_order2,1410,2
20260505_191759_order3,0,5
20260505_191759_order3,30,2
20260505_191759_order3,60,2
20260505_191759_order3,90,3
20260505_191759_order3,120,1
20260505_191759_order3,150,1
20260505_191759_order3,180,1
20260505_191759_order3,210,0
20260505_191759_order3,240,0
20260505_191759_order3,270,1
20260505_191759_order3,300,1
20260505_191759_order3,330,0
20260505_191759_order3,360,5
20260505_191759_order3,390,5
20260505_191759_order3,420,5
20260505_191759_order3,450,4
20260505_191759_order3,480,5
20260505_191759_order3,510,5
20260505_191759_order3,540,4
20260505_191759_order3,570,4
20260505_191759_order3,600,5
20260505_191759_order3,630,5
20260505_191759_order3,660,4
20260505_191759_order3,690,5
20260505_191759_order3,720,5
20260505_191759_order3,750,5
20260505_191759_order3,780,5
20260505_191759_order3,810,5
20260505_191759_order3,840,5
20260505_191759_order3,870,5
20260505_191759_order3,900,5
20260505_191759_order3,1050,4
20260505_191759_order3,1080,4
20260505_191759_order3,1110,4
20260505_191759_order3,1140,3
20260505_192656_order4,0,5
20260505_192656_order4,30,3
20260505_192656_order4,60,0
20260505_192656_order4,90,0
20260505_192656_order4,120,5
20260505_192656_order4,180,5
20260505_192656_order4,210,5
20260505_192656_order4,240,5
20260505_192656_order4,270,5
20260505_192656_order4,300,5
20260505_192656_order4,330,5
20260505_192656_order4,360,5
20260505_192656_order4,390,5
