session_a,session_b,cosine_similarity
20260507_135244_order3,20260507_143442_order4,0.9340518332344817
20260507_135244_order3,20260507_151153_order1,0.8381395313507022
20260507_135244_order3,20260507_151733_order2,0.7999999988800001
20260507_135244_order3,20260507_152058_order3,0.9410747146333714
20260507_135244_order3,20260507_152317_order4,0.9021342201494927
20260507_135244_order3,20260507_154437_order1,0.7999999988800001
20260507_135244_order3,20260507_154803_order2,0.810401608685406
20260507_135244_order3,20260507_155406_order3,0.7999999988800001
20260507_135244_order3,20260507_155542_order4,0.7999999988800001
20260507_135244_order3,20260510_112436_order1,0.7999999988800001
20260507_135244_order3,20260510_112937_order2,0.8147454306538258
20260507_135244_order3,20260510_113403_order3,0.8233415887889273
20260507_135244_order3,20260510_113658_order4,0.8262273415998751
20260507_135244_order3,20260510_121708_order1,0.7893522160194033
20260507_135244_order3,20260510_122126_order2,0.9518927935983775
20260507_135244_order3,20260510_122534_order3,0.948683296370514
20260507_135244_order3,20260510_122925_order4,0.8916453050766949
20260507_135244_order3,20260510_140907_order1,0.929352084257018
20260507_135244_order3,20260510_141947_order2,0.9899494917011668
20260507_135244_order3,20260510_142206_order3,0.7893522160194033
20260507_135244_order3,20260510_142353_order4,0.8731977004013045
20260507_135244_order3,20260510_144735_order1,0.9838699082519075
20260507_135244_order3,20260510_145002_order2,0.9994629410845045
20260507_135244_order3,20260510_145207_order3,0.9620639308071508
20260507_135244_order3,20260510_145409_order4,0.9049716965298762
20260507_135244_order3,20260510_154339_order1,0.9933457341312297
20260507_135244_order3,20260510_154923_order2,0.8304295621175667
20260507_135244_order3,20260510_155222_order3,0.8253072600453036
20260507_135244_order3,20260510_155501_order4,0.8436614864638724
20260507_135359_order4,20260507_141202_order1,0.9435240069369686
20260507_135359_order4,20260507_142235_order2,0.9614696128573467
20260507_135359_order4,20260507_143033_order3,0.9696558134323449
20260507_135359_order4,20260507_143442_order4,0.8441308705380823
20260507_135359_order4,20260507_151153_order1,0.7126093050654839
20260507_135359_order4,20260507_151733_order2,0.6643638378919887
20260507_135359_order4,20260507_152058_order3,0.8547875137134346
20260507_135359_order4,20260507_152317_order4,0.7980413676052295
20260507_135359_order4,20260507_154437_order1,0.6643638378919887
20260507_135359_order4,20260507_154803_order2,0.6773720469052606
20260507_135359_order4,20260507_155406_order3,0.6643638378919887
20260507_135359_order4,20260507_155542_order4,0.6643638378919887
20260507_135359_order4,20260510_112436_order1,0.6643638378919887
20260507_135359_order4,20260510_112937_order2,0.6828357179782064
20260507_135359_order4,20260510_113403_order3,0.6937054679926816
20260507_135359_order4,20260510_113658_order4,0.6973722789506249
20260507_135359_order4,20260510_121708_order1,0.8958791585439554
20260507_135359_order4,20260510_122126_order2,0.8717200961516636
20260507_135359_order4,20260510_122534_order3,0.8666224553265826
20260507_135359_order4,20260510_122925_order4,0.7835217688228079
20260507_135359_order4,20260510_140907_order1,0.984290054705626
20260507_135359_order4,20260510_141947_order2,0.9982743711818924
20260507_135359_order4,20260510_142206_order3,0.8958791585439554
20260507_135359_order4,20260510_142353_order4,0.9528149755877479
20260507_135359_order4,20260510_144735_order1,0.9284766891266386
20260507_135359_order4,20260510_145002_order2,0.9728791617865228
20260507_135359_order4,20260510_145207_order3,0.8883853773592009
20260507_135359_order4,20260510_145409_order4,0.8020145266537562
20260507_135359_order4,20260510_154339_order1,0.9504613645574047
20260507_135359_order4,20260510_154923_order2,0.7027285352315755
20260507_135359_order4,20260510_155222_order3,0.696202169748658
20260507_135359_order4,20260510_155501_order4,0.7197306223962502
20260507_141202_order1,20260507_142235_order2,0.9982488942729822
20260507_141202_order1,20260507_143033_order3,0.833898244940074
20260507_141202_order1,20260507_143442_order4,0.6188332677610429
20260507_141202_order1,20260507_151153_order1,0.4399338791225384
20260507_141202_order1,20260507_151733_order2,0.37922341698917417
20260507_141202_order1,20260507_152058_order3,0.6345729281489794
20260507_141202_order1,20260507_152317_order4,0.5533264217224222
20260507_141202_order1,20260507_154437_order1,0.37922341698917417
20260507_141202_order1,20260507_154803_order2,0.39539599624970506
20260507_141202_order1,20260507_155406_order3,0.37922341698917417
20260507_141202_order1,20260507_155542_order4,0.37922341698917417
20260507_141202_order1,20260510_112436_order1,0.37922341698917417
20260507_141202_order1,20260510_112937_order2,0.40223036805656165
20260507_141202_order1,20260510_113403_order3,0.4159030330222372
20260507_141202_order1,20260510_113658_order4,0.42053879086576174
20260507_141202_order1,20260510_121708_order1,0.992481201619394
20260507_141202_order1,20260510_122126_order2,0.6601484262253144
20260507_141202_order1,20260510_122534_order3,0.6523700982026767
20260507_141202_order1,20260510_122925_order4,0.5334110131143067
20260507_141202_order1,20260510_140907_order1,0.9871960326849825
20260507_141202_order1,20260510_141947_order2,0.922440986599515
20260507_141202_order1,20260510_142206_order3,0.992481201619394
20260507_141202_order1,20260510_142353_order4,0.9995717370530655
20260507_141202_order1,20260510_144735_order1,0.7529967727386216
20260507_141202_order1,20260510_145002_order2,0.8412995811504169
20260507_141202_order1,20260510_145207_order3,0.6861116960773651
20260507_141202_order1,20260510_145409_order4,0.5588304885665069
20260507_141202_order1,20260510_154339_order1,0.7937996344725865
20260507_141202_order1,20260510_154923_order2,0.42733222378431596
20260507_141202_order1,20260510_155222_order3,0.4190581768918436
20260507_141202_order1,20260510_155501_order4,0.44907407331583765
