session_label,dyad_id,order,actor_slot,responder_slot,actor_start_window,actor_end_window,actor_word,actor_duration_windows,immediate_other_word,immediate_other_is_wait,immediate_lag_windows,found_active_response,active_response_word,active_response_lag_windows,active_response_duration_windows,actor_event_mean_motion_energy_mean,actor_event_mean_motion_energy_max,actor_event_mean_motion_active_ratio,actor_event_mean_motion_burst_count,actor_event_mean_left_wrist_speed_mean,actor_event_mean_right_wrist_speed_mean,actor_event_mean_dominant_hand_speed_mean,actor_event_mean_left_hand_to_other_head_mean,actor_event_mean_right_hand_to_other_head_mean,actor_event_mean_closest_hand_to_other_head_mean,actor_event_mean_closest_hand_to_other_head_min,actor_event_mean_left_hand_reach_delta,actor_event_mean_right_hand_reach_delta,actor_event_mean_closest_hand_reach_delta,actor_event_mean_partner_gaze_ratio,actor_event_mean_task_gaze_ratio,actor_event_mean_gaze_switch_rate,actor_event_mean_root_distance_mean,actor_event_mean_partner_active_ratio,prev1_actor_word_global,prev1_immediate_other_word_global,prev1_response_word_global,prev2_actor_word_global,prev2_immediate_other_word_global,prev2_response_word_global,prev3_actor_word_global,prev3_immediate_other_word_global,prev3_response_word_global
20260504_183351_order1,dyad_001,1,person_B,person_A,12,12,IW00,1,IW01,True,1,False,,,,0.4031381488143225,0.6336416662648607,0.5555555555555556,3.0,0.5394642153729796,1.1521199542327858,1.3180253564746056,0.7029834146886313,0.622216168554077,0.5629154768609637,0.4610789524751694,-0.22196607970679405,-0.23774965591216624,-0.23774965591216624,0.8148148148148148,0.8148148148148148,2.076919020440615,0.84044556370705,0.25925925925925924,IW08,IW01,IW07,IW02,IW08,IW08,IW08,IW01,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,15,15,IW07,1,IW11,True,10,False,,,,0.4876380773078778,1.4624924141920097,0.5925925925925926,1.0,0.43822401432324454,0.15849487852041083,0.4460464749842506,0.6441667035180297,0.4924514750774494,0.4924514750774494,0.45772576580424107,-0.08706100427499208,-0.0520840169781448,-0.0520840169781448,1.0,0.7777777777777778,0.0,0.8961137229760657,0.4074074074074074,IW00,IW01,START,IW08,IW01,IW07,IW02,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,16,16,IW08,1,IW11,True,9,False,,,,0.9327895243897094,4.226172132224776,0.8888888888888888,2.0,0.70449417228892,0.1745941922081711,0.6051730011725897,0.5586649819243219,0.4671039868576069,0.4661357516478852,0.4373752406410023,-0.22395708250487806,-0.045960230040455075,-0.045960230040455075,0.7777777777777778,0.5555555555555556,1.0384595102203076,0.8919341498087752,0.37037037037037035,IW07,IW11,START,IW00,IW01,START,IW08,IW01,IW07
20260504_183351_order1,dyad_001,1,person_B,person_A,22,22,IW08,1,IW11,True,3,False,,,,0.5833813468729079,1.3490690367539122,0.7407407407407407,4.0,0.5328456786467994,0.2752498851626899,0.6067842840560154,0.6494502323168376,0.4700023522517724,0.4700023522517724,0.45224599661666154,-0.2051035972599573,-0.009350762858821526,-0.009350762858821526,0.1111111111111111,0.37037037037037035,3.1153785306609225,0.7614850555789596,0.18518518518518517,IW08,IW11,START,IW07,IW11,START,IW00,IW01,START
20260504_183351_order1,dyad_001,1,person_B,person_A,27,27,IW08,1,IW11,True,5,False,,,,0.42166074527920405,0.8943078952206731,0.5185185185185185,4.0,1.9842073050471882,0.2126874211632382,2.00071411777652,0.7917010162435958,0.46747776527498397,0.46747776527498397,0.43495541533028814,-0.2421326917045712,-0.037847505332429976,-0.037847505332429976,0.2962962962962963,0.7407407407407407,2.076919020440615,0.8754170351756563,0.07407407407407407,IW08,IW11,START,IW08,IW11,START,IW07,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,28,28,IW07,1,IW11,True,4,False,,,,0.4195397243492041,0.8943078952206731,0.6296296296296297,4.0,2.2157262811288634,0.1876542069700596,2.2157262811288634,0.6973445740189055,0.4461895323999776,0.4438594385605164,0.4069658024266516,0.05966888479405785,-0.03290674566185209,-0.03290674566185209,0.7037037037037037,0.8888888888888888,1.0384595102203076,0.8605668999525391,0.2222222222222222,IW08,IW11,START,IW08,IW11,START,IW08,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,30,30,IW08,1,IW11,True,2,False,,,,0.20598153080693235,0.3790930725499603,0.037037037037037035,1.0,0.3077024110643784,0.0626736124743564,0.31792376708857795,0.43633552707264295,0.4454956521836397,0.4187576706879131,0.3974233997044299,-0.21887529007401652,0.006426032580210517,-0.024098099929270422,0.8888888888888888,1.0,0.0,0.8512729565865811,0.3333333333333333,IW07,IW11,START,IW08,IW11,START,IW08,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,32,32,IW06,1,IW01,True,1,False,,,,0.508593978921955,1.3792732260268465,0.7037037037037037,1.0,1.0437850872089185,0.28327819821114564,1.1127043821122256,0.5854133634347578,0.4511208853655985,0.44672015271893056,0.39604562667625226,0.43029914119908985,0.11168706348259244,0.14132250555051307,1.0,0.9629629629629629,0.0,0.8818913992371383,0.4444444444444444,IW08,IW11,START,IW07,IW11,START,IW08,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,33,33,IW04,1,IW11,True,4,False,,,,0.7441442862701153,1.6555977013481766,0.9629629629629629,2.0,1.220963760538714,0.7990180695915378,1.4159720691229893,0.6316669922903323,0.4922734493258679,0.4922734493258679,0.3696904748637055,,-0.08497198526743804,-0.08497198526743804,1.0,1.0,0.0,0.9216363095292502,0.4074074074074074,IW06,IW01,START,IW08,IW11,START,IW07,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,34,34,IW10,1,IW11,True,3,False,,,,0.6517334559324243,1.6555977013481766,0.8518518518518519,3.0,1.2990689965946924,0.7271018962484069,1.0910703266045478,0.6073832123405224,0.4739982926061173,0.4739982926061173,0.36551203498668566,-0.3246677482257848,-0.18452517070757107,-0.18452517070757107,1.0,0.8518518518518519,0.0,0.8907805954287097,0.4074074074074074,IW04,IW11,START,IW06,IW01,START,IW08,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,36,36,IW06,1,IW11,True,1,False,,,,0.5147079708667309,1.2423965984397085,0.7407407407407407,4.0,1.0834926565974634,0.4236800042943367,1.2102710756999584,0.5784955582364745,0.5736712665218354,0.5539805321501203,0.441485314961581,0.1051592305828637,0.14773952028466658,0.1249142114612884,0.4444444444444444,0.7407407407407407,4.15383804088123,0.7988592563070838,0.07407407407407407,IW10,IW11,START,IW04,IW11,START,IW06,IW01,START
20260504_183351_order1,dyad_001,1,person_B,person_A,37,38,IW04,2,IW01,True,2,False,,,,0.6567357016286091,2.1415397365757913,0.4074074074074074,2.5,0.37992738248343944,0.13528259815877908,0.36195502242128474,0.5868599850756037,0.5805182893727892,0.5695138542088232,0.5099101573182996,-0.10968893435301297,-0.09778670015547924,-0.05950792447349401,0.4814814814814815,1.0,0.0,0.8773573563488068,0.12962962962962962,IW06,IW11,START,IW10,IW11,START,IW04,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,56,56,IW07,1,IW08,False,12,True,IW08,12.0,1.0,0.32444321793985864,0.9393615107137123,0.25925925925925924,2.0,1.534876938981961,0.1369018082311907,1.2558599199799072,0.48755223939475817,0.3380673943888638,0.3210987415407104,0.26144087942030103,,-0.04259484678403069,-0.04259484678403069,0.48148148148148145,0.4074074074074074,2.076919020440615,0.7175108981732033,0.0,IW04,IW01,START,IW06,IW11,START,IW10,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,57,57,IW08,1,IW08,False,11,True,IW08,11.0,1.0,0.9780374476562967,2.3455639943999196,0.7407407407407407,1.0,2.7751700949727898,0.2727822112310939,2.1953150351184405,0.6974564237353428,0.31549244848210584,0.31280251350953453,0.24909911470200732,-0.19545902883712882,-0.01352408377750941,-0.08615232803693504,0.7037037037037037,0.2222222222222222,1.0384595102203076,0.7056138804940796,0.2962962962962963,IW07,IW08,IW08,IW04,IW01,START,IW06,IW11,START
20260504_183351_order1,dyad_001,1,person_B,person_A,58,58,IW06,1,IW08,False,10,True,IW08,10.0,1.0,1.3455131376794864,2.3455639943999196,1.0,1.0,2.6914726871263617,0.5422739450608111,2.2462999079038775,0.6780584720358644,0.3143513015687097,0.3040839936862123,0.23325597746401572,-0.4669280433193249,0.14251344758141066,0.14251344758141066,0.5185185185185185,0.037037037037037035,2.076919020440615,0.6766667920909382,0.5185185185185185,IW08,IW08,IW08,IW07,IW08,IW08,IW04,IW01,START
20260504_183351_order1,dyad_001,1,person_B,person_A,59,59,IW02,1,IW08,False,9,True,IW08,9.0,1.0,0.9208448803668291,1.9361982038565817,1.0,1.0,1.079610156476038,0.694817808816999,1.3370615720623253,0.6564549169292724,0.47876469511306324,0.471187322203137,0.23325597746401572,0.4764291996307043,0.27864783488131906,0.37166319237069734,0.7777777777777778,0.25925925925925924,2.076919020440615,0.7089106911557116,0.5555555555555556,IW06,IW08,IW08,IW08,IW08,IW08,IW07,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,61,61,IW04,1,IW08,False,7,True,IW08,7.0,1.0,0.45473518219999076,0.9185273947829654,0.5925925925925926,3.0,1.138050626964036,0.4430595645237968,0.7023051164088919,0.6508815403024641,0.5232926544474504,0.5201039999424267,0.4548517980531998,,-0.11606904476800556,-0.11606904476800556,0.9629629629629629,0.7777777777777778,1.0384595102203076,0.8091544404572097,0.7037037037037037,IW02,IW08,IW08,IW06,IW08,IW08,IW08,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,62,62,IW07,1,IW08,False,6,True,IW08,6.0,1.0,0.2718765986971862,0.6828395552150895,0.18518518518518517,3.0,0.13388388393021755,0.24867379536684073,0.2626949595429236,0.45900095087236303,0.4765609314079892,0.47577501881011974,0.45441533604551637,,-0.06723927298801047,-0.06723927298801047,1.0,1.0,0.0,0.8011304060115917,0.3333333333333333,IW04,IW08,IW08,IW02,IW08,IW08,IW06,IW08,IW08
