contrast,feature,n_dyads,mean_diff,median_diff,effect_size_dz,ci95_low,ci95_high,p_value,q_value,confidence,interpretation_note
order1_vs_orders2_4,motion_crosscorr_abs_lag_s_mean,11,-0.004233729172622022,-0.0009285722581837685,-0.3577919912692797,-0.011653106301457961,0.002449256616162756,0.4130859375,0.6522409539473685,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,motion_crosscorr_abs_lag_s_mean,11,-0.004163940317937093,-0.011445334664671014,-0.2438510815605746,-0.013577072419873017,0.006794420288486795,0.4130859375,0.6522409539473685,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,motion_crosscorr_abs_lag_s_mean,11,-0.0020819701589684988,-0.005722667332335456,-0.2438510815605691,-0.006788536209936463,0.003397210144243438,0.4130859375,0.6522409539473685,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,one_active_ratio_mean,11,0.009065220499808301,0.0051133477113313175,0.3237520981749512,-0.007683787130327626,0.026115924112504324,0.3203125,0.6522409539473685,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order1_vs_orders2_4,root_distance_mean_mean,11,-0.01182215795218416,-0.031989151310643726,-0.17790233516051102,-0.050107329109027515,0.028508108361411384,0.365234375,0.6522409539473685,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order1_vs_orders2_4,task_gaze_ratio_mean_mean,11,-0.021621867938777836,-0.03528204720318473,-0.3107870261620466,-0.06223379684338696,0.019499035602541296,0.4130859375,0.6522409539473685,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,task_gaze_ratio_mean_mean,11,-0.022544099707598908,-0.03033923122606541,-0.33111155488230903,-0.06296473000425869,0.016072373683397742,0.4130859375,0.6522409539473685,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,task_gaze_ratio_mean_mean,11,-0.01127204985379937,-0.015169615613032664,-0.33111155488230665,-0.031482365002129246,0.008036186841698947,0.4130859375,0.6522409539473685,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order4_vs_order2,valid_gaze_ratio_mean,11,-0.030791531957114048,-0.006517850360118094,-0.3083186127913656,-0.10020420218573992,0.014050738787818056,0.3203125,0.6522409539473685,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,valid_gaze_ratio_mean,11,-0.015395765978556897,-0.0032589251800589194,-0.3083186127913629,-0.05010210109286985,0.007025369393909163,0.3203125,0.6522409539473685,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,valid_interaction_ratio_mean,11,0.013217194425234552,-0.000819893996106158,0.4663407640888797,-0.003123669219871213,0.031420281137038764,0.365234375,0.6522409539473685,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order1_vs_orders2_4,valid_pose_ratio_mean,11,0.013217194425234552,-0.000819893996106158,0.4663407640888797,-0.003123669219871213,0.031420281137038764,0.365234375,0.6522409539473685,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,motion_balance_mean_mean,11,-0.025012295952479682,-0.013686501284685126,-0.3435484557218174,-0.07279381141198688,0.014235716140392863,0.46484375,0.6802591463414634,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,motion_balance_mean_mean,11,-0.012506147976239808,-0.006843250642342496,-0.3435484557218163,-0.036396905705993424,0.00711785807019647,0.46484375,0.6802591463414634,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,pair_motion_energy_mean_mean,11,0.014398382169501393,0.01350932918235781,0.30564436305850723,-0.012862520571161273,0.043455025489844465,0.46484375,0.6802591463414634,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,mutual_gaze_ratio_mean,11,-0.010774394147292966,-0.0305762253243958,-0.11458107484317427,-0.06772314740346393,0.04755357438689246,0.51953125,0.7249273255813954,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,mutual_gaze_ratio_mean,11,-0.005387197073646468,-0.015288112662197905,-0.11458107484317392,-0.033861573701731956,0.023776787193446246,0.51953125,0.7249273255813954,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order4_vs_order2,valid_interaction_ratio_mean,11,-0.0044769193167614385,-0.018813458663553995,-0.1331265051943999,-0.022852618399537797,0.017065435516988713,0.5771484375,0.7367852393617021,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,valid_interaction_ratio_mean,11,-0.0022384596583805826,-0.009406729331776907,-0.13312650519439187,-0.011426309199768774,0.008532717758494481,0.5771484375,0.7367852393617021,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order4_vs_order2,valid_pose_ratio_mean,11,-0.0044769193167614385,-0.018813458663553995,-0.1331265051943999,-0.022852618399537797,0.017065435516988713,0.5771484375,0.7367852393617021,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,valid_pose_ratio_mean,11,-0.0022384596583805826,-0.009406729331776907,-0.13312650519439187,-0.011426309199768774,0.008532717758494481,0.5771484375,0.7367852393617021,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,motion_balance_mean_mean,11,-0.015720878600649003,-0.002210403743834355,-0.22799008441657448,-0.058207761444890364,0.024615198949165033,0.6376953125,0.7502297794117647,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,one_active_ratio_mean,11,0.016335687781541555,-0.0029605467335444557,0.35447827323083697,-0.009053473291495305,0.04520778722564918,0.6376953125,0.7502297794117647,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,one_active_ratio_mean,11,0.00816784389077086,-0.0014802733667721151,0.35447827323084036,-0.004526736645747571,0.02260389361282468,0.6376953125,0.7502297794117647,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,pair_motion_energy_max_mean,11,0.02341544776807849,0.0143430184367489,0.23940486359951674,-0.03506551116308374,0.08403905756392249,0.6376953125,0.7502297794117647,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order1_vs_orders2_4,activity_state_entropy_mean,11,0.02037582900725671,0.0036152706799201795,0.16442952796378896,-0.05346530411452107,0.09466588982984657,0.7001953125,0.7926739386792453,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order1_vs_orders2_4,valid_gaze_ratio_mean,11,-0.006667323174422959,-0.0037732392501121925,-0.15737944315482427,-0.03274831663900711,0.0174416232728629,0.7001953125,0.7926739386792453,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,both_active_ratio_mean,11,-0.004878989470757725,0.0022047611644286647,-0.2404337005221791,-0.01796616313662819,0.005720376024470242,0.7646484375,0.8192661830357143,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,both_active_ratio_mean,11,-0.0024394947353788437,0.0011023805822143564,-0.24043370052217714,-0.008983081568314078,0.0028601880122351457,0.7646484375,0.8192661830357143,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
order1_vs_orders2_4,motion_energy_absdiff_mean_mean,11,0.0023942943776346596,0.011297352631653157,0.11203833989623235,-0.010923055032729822,0.014530378453363399,0.7646484375,0.8192661830357143,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order1_vs_orders2_4,motion_crosscorr_absmax_mean,11,-0.005271235293078017,0.005630042462720808,-0.23520198427898004,-0.019741160332067676,0.007170983799167251,0.8310546875,0.8747944078947368,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order1_vs_orders2_4,both_active_ratio_mean,11,-0.0009496668936312642,0.0011570676375404487,-0.07216320150202059,-0.009099811049352487,0.0068867679993128835,0.8984375,0.9294181034482759,weak/exploratory,Later orders minus order1; competition and practice are confounded.
order4_vs_order2,motion_crosscorr_absmax_mean,11,-0.0005200323420827244,-0.0017380747853011913,-0.027113731935234347,-0.012645036391717778,0.010453993468922685,0.9658203125,0.9658203125,weak/exploratory,Late competitive order minus early competitive order.
competitive_order2_4_linear_slope,motion_crosscorr_absmax_mean,11,-0.0002600161710412233,-0.0008690373926503917,-0.027113731935219893,-0.006322518195858742,0.005226996734461481,0.9658203125,0.9658203125,weak/exploratory,"Per-dyad linear slope across orders 2, 3, and 4."
